date,value,series
2024-10-01,159005.0,nonfarm
2024-09-01,158993.0,nonfarm
2024-08-01,158770.0,nonfarm
2024-07-01,158692.0,nonfarm
2024-06-01,158548.0,nonfarm
2024-05-01,158430.0,nonfarm
2024-04-01,158214.0,nonfarm
2024-03-01,158106.0,nonfarm
2024-02-01,157796.0,nonfarm
2024-01-01,157560.0,nonfarm
2023-12-01,157304.0,nonfarm
2023-11-01,157014.0,nonfarm
2023-10-01,156832.0,nonfarm
2023-09-01,156667.0,nonfarm
2023-08-01,156421.0,nonfarm
2023-07-01,156211.0,nonfarm
2023-06-01,156027.0,nonfarm
2023-05-01,155787.0,nonfarm
2023-04-01,155484.0,nonfarm
2023-03-01,155206.0,nonfarm
2023-02-01,155060.0,nonfarm
2023-01-01,154773.0,nonfarm
2024-10-01,4.1,unemployment_rate
2024-09-01,4.1,unemployment_rate
2024-08-01,4.2,unemployment_rate
2024-07-01,4.3,unemployment_rate
2024-06-01,4.1,unemployment_rate
2024-05-01,4.0,unemployment_rate
2024-04-01,3.9,unemployment_rate
2024-03-01,3.8,unemployment_rate
2024-02-01,3.9,unemployment_rate
2024-01-01,3.7,unemployment_rate
2023-12-01,3.7,unemployment_rate
2023-11-01,3.7,unemployment_rate
2023-10-01,3.8,unemployment_rate
2023-09-01,3.8,unemployment_rate
2023-08-01,3.8,unemployment_rate
2023-07-01,3.5,unemployment_rate
2023-06-01,3.6,unemployment_rate
2023-05-01,3.7,unemployment_rate
2023-04-01,3.4,unemployment_rate
2023-03-01,3.5,unemployment_rate
2023-02-01,3.6,unemployment_rate
2023-01-01,3.4,unemployment_rate
2024-10-01,62.6,participation_rate
2024-09-01,62.7,participation_rate
2024-08-01,62.7,participation_rate
2024-07-01,62.7,participation_rate
2024-06-01,62.6,participation_rate
2024-05-01,62.5,participation_rate
2024-04-01,62.7,participation_rate
2024-03-01,62.7,participation_rate
2024-02-01,62.5,participation_rate
2024-01-01,62.5,participation_rate
2023-12-01,62.5,participation_rate
2023-11-01,62.8,participation_rate
2023-10-01,62.7,participation_rate
2023-09-01,62.8,participation_rate
2023-08-01,62.8,participation_rate
2023-07-01,62.6,participation_rate
2023-06-01,62.6,participation_rate
2023-05-01,62.6,participation_rate
2023-04-01,62.6,participation_rate
2023-03-01,62.6,participation_rate
2023-02-01,62.5,participation_rate
2023-01-01,62.4,participation_rate
